"question_id","method","selected","is_high_freq"
"19","Bartlett Test","0","1"
"19","F-Test for Variance","0","1"
"20","Partial Correlation Coefficient","0","0"
"23","Bartlett Test","0","1"
"23","F-Test for Variance","0","1"
"22","Shapiro-Wilk Test of Normality","0","0"
"22","Kolmogorov-Smirnov Test","0","0"
"22","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"22","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"22","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"21","Shapiro-Wilk Test of Normality","0","0"
"21","Kolmogorov-Smirnov Test","0","0"
"21","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"21","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"21","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"24","Anderson-Darling Test","0","1"
"24","Shapiro-Wilk Test of Normality","0","0"
"24","Kolmogorov-Smirnov Test for Normality","0","0"
"24","Lilliefors Test","0","0"
"24","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"24","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"24","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"25","Chi-square Independence Test","0","0"
"25","Mantel-Haenszel Test","0","1"
"26","Bartlett Test","0","1"
"26","F-Test for Variance","0","1"
"28","Anderson-Darling Test","0","1"
"28","Shapiro-Wilk Test of Normality","0","0"
"28","Kolmogorov-Smirnov Test for Normality","0","0"
"28","Lilliefors Test","0","0"
"28","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"28","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"28","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"29","Chi-square Independence Test","0","0"
"29","Fisher Exact Test","0","1"
"30","Fisher Exact Test","0","1"
"30","Mantel-Haenszel Test","0","1"
"27","Shapiro-Wilk Test of Normality","0","0"
"27","Kolmogorov-Smirnov Test","0","0"
"27","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"27","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"27","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"31","Bartlett Test","0","1"
"31","F-Test for Variance","0","1"
"35","Mantel-Haenszel Test","0","1"
"34","Partial Correlation Coefficient","0","0"
"36","Bartlett Test","0","1"
"36","F-Test for Variance","0","1"
"38","Shapiro-Wilk Test of Normality","0","0"
"38","Kolmogorov-Smirnov Test","0","0"
"38","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"38","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"38","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"37","Lilliefors Test","0","0"
"37","Kolmogorov-Smirnov Test","0","0"
"37","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"37","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"37","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"39","Shapiro-Wilk Test of Normality","0","0"
"39","Kolmogorov-Smirnov Test","0","0"
"39","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"39","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"39","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"41","Partial Correlation Coefficient","0","0"
"44","Fisher Exact Test","0","1"
"44","Mantel-Haenszel Test","0","1"
"45","Bartlett Test","0","1"
"45","F-Test for Variance","0","1"
"46","Bartlett Test","0","1"
"46","F-Test for Variance","0","1"
"43","Bartlett Test","0","1"
"43","F-Test for Variance","0","1"
"42","Lilliefors Test","0","0"
"42","Kolmogorov-Smirnov Test","0","0"
"42","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"42","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"42","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"47","Pearson Correlation Coefficient","0","1"
"47","Spearman Correlation Coefficient","0","0"
"47","Partial Correlation Coefficient","0","0"
"48","Shapiro-Wilk Test of Normality","0","0"
"48","Kolmogorov-Smirnov Test","0","0"
"48","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"48","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"48","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"49","Mantel-Haenszel Test","0","1"
