row_id,task,question,gt_methods,pred_methods,auto_label_clarity,auto_verdicts,HUMAN_label_clarity[fully_labeled/partially_labeled/narrative_only],HUMAN_notes,model_output
374,Contingency Table Test,Do specific categories of anxiety symptoms influence the distribution of lung cancer diagnoses?,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test|Fisher Exact Test,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude,,,"1. Identify the variables involved.
   - Anxiety symptoms (ANXIETY)
   - Lung cancer diagnoses (LUNG_CANCER)

2. Determine the statistical task type.
   - The task involves examining the relationship between a categorical variable (ANXIETY) and another categorical variable (LUNG_CANCER).

3. Select the appropriate method category.
   - Contingency Table Test

4. Evaluate the candidate methods.
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE
   - Mantel-Haenszel Test: EXCLUDE

5. Self-check:
   - Chi-square Independence Test: INCLUDE (valid for categorical variables)
   - Fisher Exact Test: INCLUDE (valid for categorical variables)

6. FINAL ANSWER (JSON):
{""columns"": [""ANXIETY"", ""LUNG_CANCER""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}"
26,Contingency Table Test,"Is there a significant association between the presence of yellow fingers, indicating a smoking habit, and the presence of chest pain symptoms?",Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test|Fisher Exact Test,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude,,,"1. Identify the variables involved.
   - YELLOW_FINGERS (categorical)
   - CHEST PAIN (categorical)

2. Determine the statistical task type.
   - The task is to determine if there is a significant association between two categorical variables.

3. Select the appropriate method category.
   - Contingency Table Test

4. Evaluate the candidate methods.
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE
   - Mantel-Haenszel Test: EXCLUDE

5. Self-check:
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE

6. FINAL ANSWER (JSON):
{""columns"": [""YELLOW_FINGERS"", ""CHEST PAIN""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}"
57,Variance Test,"Is the variability in the Total, which represents the sum of all base stats (Health Points, Attack, Defense, Special Attack, Special Defense, and Speed), comparable to that of Weight_kg, which represents the weight of the Pokemon in kilograms?",Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. Identify the variables involved.
   - Total (quantitative)
   - Weight_kg (quantitative)

2. Determine the statistical task type.
   - The task is to compare the variability of two quantitative variables.

3. Select the appropriate method category.
   - Variance Test

4. Evaluate the candidate methods.
   - Mood Variance Test: INCLUDE
   - Levene Test: INCLUDE
   - Bartlett Test: INCLUDE
   - F-Test for Variance: INCLUDE

5. Self-check: list only the methods marked INCLUDE in Step 4.
   - All methods marked INCLUDE are from the Variance Test category and are appropriate for comparing the variability of two quantitative variables.

6. FINAL ANSWER (JSON):
{""columns"": [""Total"", ""Weight_kg""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
81,Contingency Table Test,Does a player's physical appearance or body type relate to whether they are accurately represented in the game?,Chi-square Independence Test,Chi-square Independence Test|Fisher Exact Test,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude,,,"1. Identify the variables involved.
   - Physical appearance or body type (Body Type)
   - Accurately represented in the game (Real Face)

2. Determine the statistical task type.
   - The task involves a categorical variable (Body Type) and another categorical variable (Real Face). This suggests a contingency table test.

3. Select the appropriate method category.
   - Contingency Table Test

4. Evaluate the candidate methods.
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE
   - Mantel-Haenszel Test: EXCLUDE

5. Self-check:
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE

6. FINAL ANSWER (JSON):
{""columns"": [""Body Type"", ""Real Face""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}"
200,Variance Test,To what extent do the variance patterns of the player's special abilities and height exhibit parallelism?,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. Identify the variables involved: The variables involved are 'Special' and 'Height'.
2. Determine the statistical task type: The task is to compare the variance patterns of two quantitative variables.
3. Select the appropriate method category: Variance Test.
4. Evaluate the candidate methods:
   - Mood Variance Test: INCLUDE
   - Levene Test: INCLUDE
   - Bartlett Test: INCLUDE
   - F-Test for Variance: INCLUDE
5. Self-check: All methods marked INCLUDE in Step 4 are from the Variance Test category and are appropriate for comparing the variance patterns of two quantitative variables. No contradictions are found.
6. FINAL ANSWER (JSON): {""columns"": [""Special"", ""Height""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
129,Distribution Compliance Test,"Are the values in the variable ""AGE"" indicative of a normal distribution?",Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude,,,"1. The variable involved is ""AGE"".
2. The statistical task type is to test if the distribution of ""AGE"" is normal.
3. The appropriate method category is ""Distribution Compliance Test"".
4. 
- Anderson-Darling Test: INCLUDE
- Shapiro-Wilk Test of Normality: INCLUDE
- Kolmogorov-Smirnov Test for Normality: INCLUDE
- Lilliefors Test: INCLUDE
- Kolmogorov-Smirnov Test: EXCLUDE
- Kolmogorov-Smirnov Test for Uniform distribution: EXCLUDE
- Kolmogorov-Smirnov Test for Gamma distribution: EXCLUDE
- Kolmogorov-Smirnov Test for Exponential distribution: EXCLUDE
5. After self-check, the methods to be included are:
- Anderson-Darling Test
- Shapiro-Wilk Test of Normality
- Kolmogorov-Smirnov Test for Normality
- Lilliefors Test
6. FINAL ANSWER (JSON):
{""columns"": [""AGE""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}"
269,Distribution Compliance Test,What is the likelihood that the scores on the TOEFL (Test of English as a Foreign Language) exam are sampled from a normal distribution?,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude,,,"1. The variable involved is the TOEFL Score, which is quantitative.
2. The statistical task type is to test if the scores are sampled from a normal distribution.
3. The appropriate method category is Distribution Compliance Test.
4. 
Anderson-Darling Test: INCLUDE
Shapiro-Wilk Test of Normality: INCLUDE
Kolmogorov-Smirnov Test for Normality: INCLUDE
Lilliefors Test: INCLUDE
Kolmogorov-Smirnov Test: EXCLUDE
Kolmogorov-Smirnov Test for Uniform distribution: EXCLUDE
Kolmogorov-Smirnov Test for Gamma distribution: EXCLUDE
Kolmogorov-Smirnov Test for Exponential distribution: EXCLUDE

5. Self-check: The methods marked INCLUDE are Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, and Lilliefors Test. These methods are all appropriate for testing normality and do not contradict any conditions.

FINAL ANSWER (JSON):{""columns"": [""TOEFL Score""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}"
120,Contingency Table Test,Is there variation in the association between the experience of peer pressure related to smoking and the presence of chronic disease when stratified by gender?,Mantel-Haenszel Test,Chi-square Independence Test|Fisher Exact Test|Mantel-Haenszel Test,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=include,,,"1. Identify the variables involved.
   - Peer Pressure (PEER_PRESSURE)
   - Chronic Disease (CHRONIC DISEASE)
   - Gender (GENDER) as a stratification variable

2. Determine the statistical task type.
   - The task involves assessing the association between two categorical variables (PEER_PRESSURE and CHRONIC DISEASE) stratified by a third categorical variable (GENDER).

3. Select the appropriate method category.
   - Contingency Table Test

4. Evaluate the candidate methods.
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE
   - Mantel-Haenszel Test: INCLUDE

5. Self-check: list only the methods marked INCLUDE in Step 4.
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE
   - Mantel-Haenszel Test: INCLUDE
   - All methods marked INCLUDE are appropriate for the task.

6. FINAL ANSWER (JSON):
{""columns"": [""PEER_PRESSURE"", ""CHRONIC DISEASE"", ""GENDER""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]}"
256,Correlation Analysis,Is there a linear correlation between the weekly study time and the first period grade?,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient|Partial Correlation Coefficient,fully_labeled,Pearson Correlation Coefficient=include|Spearman Correlation Coefficient=include|Kendall Correlation Coefficient=include|Partial Correlation Coefficient=include,,,"1. Identify the variables involved.
   - Weekly study time: studytime
   - First period grade: G1

2. Determine the statistical task type.
   - The task is to determine if there is a linear correlation between two quantitative variables.

3. Select the appropriate method category.
   - Correlation Analysis

4. Evaluate the candidate methods.
   - Pearson Correlation Coefficient: INCLUDE
   - Spearman Correlation Coefficient: INCLUDE
   - Kendall Correlation Coefficient: INCLUDE
   - Partial Correlation Coefficient: INCLUDE

5. Self-check: list only the methods marked INCLUDE in Step 4.
   - Pearson Correlation Coefficient: INCLUDE
   - Spearman Correlation Coefficient: INCLUDE
   - Kendall Correlation Coefficient: INCLUDE
   - Partial Correlation Coefficient: INCLUDE
   - No contradictions found.

6. FINAL ANSWER (JSON):
{""columns"": [""studytime"", ""G1""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Partial Correlation Coefficient""]}"
334,Contingency Table Test,Does the observed frequency conform to the assumption of independence between legendary status and gender classification among the Pokémon?,Fisher Exact Test,Chi-square Independence Test|Fisher Exact Test,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude,,,"1. Identify the variables involved.
   - Legendary status (isLegendary)
   - Gender classification (hasGender)

2. Determine the statistical task type.
   - The task is to test the independence between two categorical variables.

3. Select the appropriate method category.
   - Contingency Table Test

4. Evaluate the candidate methods.
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE
   - Mantel-Haenszel Test: EXCLUDE

5. Self-check:
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE

6. FINAL ANSWER (JSON):
{""columns"": [""isLegendary"", ""hasGender""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}"
386,Variance Test,Are the variances of average glucose level and body mass index similar?,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. The variables involved are 'avg_glucose_level' and 'bmi'.
2. The statistical task type is to compare the variances of two quantitative variables.
3. The appropriate method category is Variance Test.
4. 
- Mood Variance Test: INCLUDE
- Levene Test: INCLUDE
- Bartlett Test: INCLUDE
- F-Test for Variance: INCLUDE
5. Self-check: All methods marked INCLUDE in Step 4 are from the Variance Test category and are appropriate for comparing the variances of two quantitative variables.
6. FINAL ANSWER (JSON): {""columns"": [""avg_glucose_level"", ""bmi""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
60,Distribution Compliance Test,Is it possible to infer whether the distribution of the budget allocated for TV advertising and the sales revenue generated are equivalent?,Kolmogorov-Smirnov Test,Anderson-Darling Test|Kolmogorov-Smirnov Test,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=exclude|Kolmogorov-Smirnov Test for Normality=exclude|Kolmogorov-Smirnov Test=exclude|Lilliefors Test=exclude|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude,,,"1. Identify the variables involved.
   - TV Ad Budget ($)
   - Sales ($)

2. Determine the statistical task type.
   - The task is to infer whether the distribution of the budget allocated for TV advertising and the sales revenue generated are equivalent.

3. Select the appropriate method category.
   - Distribution Compliance Test

4. Evaluate the candidate methods.
   Anderson-Darling Test: INCLUDE
   Shapiro-Wilk Test of Normality: EXCLUDE
   Kolmogorov-Smirnov Test for Normality: EXCLUDE
   Lilliefors Test: EXCLUDE
   Kolmogorov-Smirnov Test: INCLUDE
   Kolmogorov-Smirnov Test for Uniform distribution: EXCLUDE
   Kolmogorov-Smirnov Test for Gamma distribution: EXCLUDE
   Kolmogorov-Smirnov Test for Exponential distribution: EXCLUDE

5. Self-check:
   - Anderson-Darling Test: INCLUDE (No contradiction)
   - Kolmogorov-Smirnov Test: INCLUDE (No contradiction)

6. FINAL ANSWER (JSON):
{""columns"": [""TV Ad Budget ($)"", ""Sales ($)""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test""]}"
342,Contingency Table Test,Is there a relationship between the presence of family history with overweight and the different categories of NObeyesdad?,Chi-square Independence Test,Chi-square Independence Test|Fisher Exact Test,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude,,,"1. Identify the variables involved.
   - The variables involved are 'family_history_with_overweight' (categorical) and 'NObeyesdad' (categorical).

2. Determine the statistical task type.
   - The task is to determine if there is a relationship between two categorical variables.

3. Select the appropriate method category.
   - The appropriate method category is Contingency Table Test.

4. Evaluate the candidate methods.
   - Chi-square Independence Test: INCLUDE
   - Fisher Exact Test: INCLUDE
   - Mantel-Haenszel Test: EXCLUDE

5. Self-check:
   - Chi-square Independence Test: INCLUDE (valid for categorical variables)
   - Fisher Exact Test: INCLUDE (valid for categorical variables)

6. FINAL ANSWER (JSON):
{""columns"": [""family_history_with_overweight"", ""NObeyesdad""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}"
