"question_id","task","method","selected","high_disconnect_risk","is_high_freq"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"12","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"13","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"14","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"15","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"16","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"17","Contingency Table Test","Fisher Exact Test","0","0","1"
"17","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"18","Contingency Table Test","Fisher Exact Test","0","0","1"
"18","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"19","Variance Test","Bartlett Test","0","0","1"
"19","Variance Test","F-Test for Variance","0","0","1"
"20","Correlation Analysis","Partial Correlation Coefficient","0","0","0"
"21","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"21","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"21","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"21","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"21","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"22","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"22","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"22","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"22","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"22","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"23","Variance Test","Bartlett Test","0","0","1"
"23","Variance Test","F-Test for Variance","0","0","1"
"24","Distribution Compliance Test","Anderson-Darling Test","0","0","1"
"24","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"24","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","0","0","0"
"24","Distribution Compliance Test","Lilliefors Test","0","0","0"
"24","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"24","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"24","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"25","Contingency Table Test","Chi-square Independence Test","0","0","0"
"25","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"26","Variance Test","Bartlett Test","0","0","1"
"26","Variance Test","F-Test for Variance","0","0","1"
"27","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"27","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"27","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"27","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"27","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"28","Distribution Compliance Test","Anderson-Darling Test","0","0","1"
"28","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"28","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","0","0","0"
"28","Distribution Compliance Test","Lilliefors Test","0","0","0"
"28","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"28","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"28","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"29","Contingency Table Test","Chi-square Independence Test","0","0","0"
"29","Contingency Table Test","Fisher Exact Test","0","0","1"
"30","Contingency Table Test","Fisher Exact Test","0","0","1"
"30","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"31","Variance Test","Bartlett Test","0","0","1"
"31","Variance Test","F-Test for Variance","0","0","1"
"34","Correlation Analysis","Partial Correlation Coefficient","0","0","0"
"35","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"36","Variance Test","Bartlett Test","0","0","1"
"36","Variance Test","F-Test for Variance","0","0","1"
"37","Distribution Compliance Test","Lilliefors Test","0","0","0"
"37","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"37","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"37","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"37","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"38","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"38","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"38","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"38","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"38","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"39","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"39","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"39","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"39","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"39","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"41","Correlation Analysis","Partial Correlation Coefficient","0","0","0"
"42","Distribution Compliance Test","Lilliefors Test","0","0","0"
"42","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"42","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"42","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"42","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"43","Variance Test","Bartlett Test","0","0","1"
"43","Variance Test","F-Test for Variance","0","0","1"
"44","Contingency Table Test","Fisher Exact Test","0","0","1"
"44","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
"45","Variance Test","Bartlett Test","0","0","1"
"45","Variance Test","F-Test for Variance","0","0","1"
"46","Variance Test","Bartlett Test","0","0","1"
"46","Variance Test","F-Test for Variance","0","0","1"
"47","Correlation Analysis","Pearson Correlation Coefficient","0","0","1"
"47","Correlation Analysis","Spearman Correlation Coefficient","0","0","0"
"47","Correlation Analysis","Partial Correlation Coefficient","0","0","0"
"48","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"48","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"48","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"48","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"48","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"49","Contingency Table Test","Mantel-Haenszel Test","0","0","1"
